Geneid	/N/dc2/scratch/rpolicas/stripe_paper/rna_seq/yeast/results/aligned/YRNASEQ_01_S288C_1_Aligned.sortedByCoord.out.bam	/N/dc2/scratch/rpolicas/stripe_paper/rna_seq/yeast/results/aligned/YRNASEQ_03_S288C_3_Aligned.sortedByCoord.out.bam	/N/dc2/scratch/rpolicas/stripe_paper/rna_seq/yeast/results/aligned/YRNASEQ_02_S288C_2_Aligned.sortedByCoord.out.bam
YOL139C	4738	4211	4378
YOL138C	427	370	434
YOL137W	393	345	360
YOL136C	1546	1463	1325
YOL135C	277	224	225
YOL134C	1	3	1
YOL133W	543	471	517
YOL132W	20	13	9
YOL131W	1	5	6
YOL130W	1383	1242	1320
YOL129W	1571	1448	1365
YOL128C	210	223	199
YOL127W	13472	12362	12615
YOL126C	2941	2324	2382
YOL125W	689	466	621
YOL124C	1143	1002	1097
YOL123W	2896	2404	2302
YOL122C	645	561	594
YOL121C	4447	3886	4004
YOL120C	19783	17954	19127
YOL119C	722	738	688
YOL118C	15	17	9
YOL117W	485	449	421
YOL116W	549	453	478
YOL115W	776	628	648
YOL114C	147	107	113
YOL113W	929	813	794
YOL112W	482	395	431
YOL111C	935	768	857
YOL110W	142	149	147
YOL109W	4675	4027	4025
tG(UCC)O	0	0	1
YOL108C	376	325	308
YOL107W	200	184	175
YOL106W	10	9	9
tT(AGU)O1	0	0	0
YOL105C	259	217	188
YOL104C	190	211	202
YOL103W-B	37	28	14
YOL103W-A	0	0	0
YOL103W	847	811	879
YOL102C	371	363	361
YOL101C	1480	1127	1266
YOL100W	894	753	724
YOL099C	15	13	11
YOL098C	2157	1979	2036
snR58	3	5	3
YOL097W-A	20	13	15
YOL097C	3324	3070	3135
YOL096C	536	490	531
YOL095C	196	213	178
YOL094C	334	300	299
YOL093W	622	582	580
YOL092W	1283	1191	1265
YOL091W	52	44	45
YOL090W	668	601	609
YOL089C	515	487	512
YOL088C	900	788	815
YOL087C	1844	1568	1466
YOL086W-A	180	193	163
YOL086C	86565	86687	86647
YOL085W-A	35	40	29
YOL085C	3	3	1
YOL084W	386	294	308
YOL083W	331	274	272
YOL083C-A	6	4	1
YOL082W	1001	873	868
YOL081W	2137	2134	2096
YOL080C	379	382	399
YOL079W	0	1	0
YOL078W	348	303	354
YOL077W-A	489	401	436
