sgd_id	yeast_rnaseq_1	yeast_rnaseq_2	yeast_rnaseq_3	yeast_stripeseq_unpooled_1	yeast_stripeseq_unpooled_2	yeast_stripeseq_unpooled_3	yeast_stripeseq_pooled_1	yeast_stripeseq_pooled_2	yeast_stripeseq_pooled_3
YDR088C	444	373	400	89	71	93	76	56	82
tR(ACG)D	1	2	0	0	0	0	0	0	0
YDR089W	820	683	736	12	8	8	14	15	16
YDR090C	344	328	310	13	22	18	23	21	24
YDR091C	2196	2082	2193	48	44	50	60	40	48
YDR092W	823	677	713	105	116	133	121	98	98
YDR093W	1396	1308	1256	74	54	63	101	74	119
YDR094W	14	7	14	0	0	0	0	0	0
YDR095C	5	3	2	1	0	0	0	1	0
YDR096W	1624	1371	1344	76	70	90	104	75	132
YDR097C	635	601	580	41	27	56	45	35	58
YDR098C	1156	1111	1044	48	47	68	66	56	53
tQ(UUG)D2	0	0	0	0	0	0	0	0	0
YDR098C-B	20	20	23	0	0	0	2	2	2
YDR098C-A	0	0	0	0	0	0	0	0	0
YDR099W	5001	4440	4620	86	101	115	135	95	143
YDR100W	732	719	674	36	38	49	45	38	37
YDR101C	983	1071	1106	58	65	79	71	67	74
YDR102C	4	5	4	3	2	1	5	5	4
YDR103W	908	843	874	103	108	81	84	73	80
YDR104C	329	300	354	21	16	19	38	27	53
YDR105C	833	723	702	27	21	19	17	9	21
YDR106W	42	50	50	14	10	13	16	7	10
tI(AAU)D	0	0	0	0	0	0	0	0	1
YDR107C	393	377	355	63	49	61	84	42	70
YDR108W	446	435	417	17	18	17	30	22	29
YDR109C	306	288	289	12	3	14	22	12	21
YDR110W	444	375	429	57	39	62	105	67	110
YDR111C	890	766	838	12	15	12	22	21	38
YDR112W	2	0	1	0	0	0	0	0	0
YDR113C	470	404	409	38	42	45	52	37	46
YDR114C	2	0	5	0	0	0	0	0	0
YDR115W	522	460	427	47	41	56	63	57	75
YDR116C	740	630	627	170	134	182	232	138	190
YDR117C	690	722	745	36	32	53	50	40	70
YDR118W	288	276	289	12	6	4	10	4	10
YDR118W-A	7	8	9	0	0	0	0	0	1
